recv[618] = 1.254643, hard = 1
recv[619] = -1.192697, hard = 0
recv[620] = -0.803603, hard = 0
recv[621] = -1.510581, hard = 0
recv[622] = -1.236644, hard = 0
recv[623] = -0.880963, hard = 0
recv[624] = -1.307583, hard = 0
recv[625] = -1.542455, hard = 0
recv[626] = -0.271133, hard = 0
recv[627] = 0.361972, hard = 1
recv[628] = -1.254543, hard = 0
recv[629] = -0.090937, hard = 0
recv[630] = -2.044937, hard = 0
recv[631] = -1.381857, hard = 0
recv[632] = -0.674680, hard = 0
recv[633] = -0.771210, hard = 0
recv[634] = -3.213393, hard = 0
recv[635] = -1.084884, hard = 0
recv[636] = -0.471350, hard = 0
recv[637] = -1.858645, hard = 0
recv[638] = -1.168199, hard = 0
recv[639] = -0.702786, hard = 0
recv[640] = -1.017057, hard = 0
recv[641] = -0.565669, hard = 0
recv[642] = -0.010122, hard = 0
recv[643] = -0.591410, hard = 0
recv[644] = -2.129805, hard = 0
recv[645] = -0.539587, hard = 0
recv[646] = -1.529817, hard = 0
recv[647] = -1.494079, hard = 0
recv[648] = -0.879629, hard = 0
recv[649] = -0.895671, hard = 0
recv[650] = -1.181446, hard = 0
recv[651] = -0.444263, hard = 0
recv[652] = -0.472955, hard = 0
recv[653] = -1.549423, hard = 0
recv[654] = -1.045424, hard = 0
recv[655] = -2.522826, hard = 0
recv[656] = -0.975248, hard = 0
recv[657] = -1.917651, hard = 0
recv[658] = 0.627739, hard = 1
recv[659] = -2.105986, hard = 0
recv[660] = -0.496235, hard = 0
recv[661] = -1.456131, hard = 0
recv[662] = 0.129340, hard = 1
recv[663] = -0.490872, hard = 0
recv[664] = -0.537656, hard = 0
recv[665] = -0.557598, hard = 0
recv[666] = -2.381068, hard = 0
recv[667] = 0.648670, hard = 1
recv[668] = -1.631749, hard = 0
recv[669] = -1.482097, hard = 0
recv[670] = -2.163528, hard = 0
recv[671] = -1.146790, hard = 0
recv[672] = -0.600005, hard = 0
recv[673] = 0.287451, hard = 1
recv[674] = 0.282785, hard = 1
recv[675] = -2.615997, hard = 0
recv[676] = -0.583112, hard = 0
recv[677] = -0.553804, hard = 0
recv[678] = -0.609381, hard = 0
recv[679] = -0.547440, hard = 0
recv[680] = -0.967505, hard = 0
recv[681] = -0.627457, hard = 0
recv[682] = -1.611816, hard = 0
recv[683] = -1.614237, hard = 0
recv[684] = -0.705938, hard = 0
recv[685] = -1.209803, hard = 0
recv[686] = -1.333999, hard = 0
recv[687] = -0.928547, hard = 0
recv[688] = -0.734805, hard = 0
recv[689] = -0.898409, hard = 0
recv[690] = 0.201962, hard = 1
recv[691] = -0.385174, hard = 0
recv[692] = 0.406745, hard = 1
recv[693] = -1.989345, hard = 0
recv[694] = -1.852777, hard = 0
recv[695] = -0.464811, hard = 0
recv[696] = -1.257298, hard = 0
recv[697] = -0.313017, hard = 0
recv[698] = -0.726768, hard = 0
recv[699] = -0.309218, hard = 0
recv[700] = -0.030312, hard = 0
recv[701] = -0.022241, hard = 0
recv[702] = -2.001003, hard = 0
recv[703] = -0.845440, hard = 0
recv[704] = -1.076661, hard = 0
recv[705] = -2.723032, hard = 0
recv[706] = -1.519404, hard = 0
recv[707] = -0.616976, hard = 0
recv[708] = -1.830521, hard = 0
recv[709] = -1.561228, hard = 0
recv[710] = -1.159473, hard = 0
recv[711] = -0.381123, hard = 0
recv[712] = 0.368505, hard = 1
recv[713] = -1.375097, hard = 0
recv[714] = -0.838874, hard = 0
recv[715] = -0.522643, hard = 0
recv[716] = -2.218708, hard = 0
recv[717] = 0.718131, hard = 1
recv[718] = -0.670789, hard = 0
recv[719] = -0.822933, hard = 0
recv[720] = -0.449123, hard = 0
recv[721] = -1.298375, hard = 0
recv[722] = -1.175592, hard = 0
recv[723] = -2.293686, hard = 0
recv[724] = -0.673352, hard = 0
recv[725] = -1.129236, hard = 0
recv[726] = -0.240040, hard = 0
recv[727] = -0.427609, hard = 0
recv[728] = -0.779826, hard = 0
recv[729] = -0.655975, hard = 0
recv[730] = 0.285761, hard = 1
recv[731] = 0.552778, hard = 1
recv[732] = -1.947331, hard = 0
recv[733] = -2.320699, hard = 0
recv[734] = 0.365525, hard = 1
recv[735] = -1.162230, hard = 0
recv[736] = -1.953009, hard = 0
recv[737] = -1.977762, hard = 0
recv[738] = -1.237317, hard = 0
recv[739] = -2.320784, hard = 0
recv[740] = -1.248943, hard = 0
recv[741] = -1.149142, hard = 0
recv[742] = -0.186562, hard = 0
recv[743] = 0.232824, hard = 1
recv[744] = -1.143596, hard = 0
recv[745] = -1.542064, hard = 0
recv[746] = -0.096919, hard = 0
recv[747] = -1.760219, hard = 0
recv[748] = -0.233127, hard = 0
recv[749] = -1.875192, hard = 0
recv[750] = -0.410513, hard = 0
recv[751] = -1.538022, hard = 0
recv[752] = 0.043692, hard = 1
recv[753] = -1.237868, hard = 0
recv[754] = -0.648645, hard = 0
recv[755] = -0.516749, hard = 0
recv[756] = -1.137280, hard = 0
recv[757] = -0.462661, hard = 0
recv[758] = -0.745988, hard = 0
recv[759] = -0.670516, hard = 0
recv[760] = -0.034217, hard = 0
recv[761] = -1.921949, hard = 0
recv[762] = 1.011420, hard = 1
recv[763] = 0.048831, hard = 1
recv[764] = -2.039140, hard = 0
recv[765] = -1.118266, hard = 0
recv[766] = -0.690992, hard = 0
recv[767] = -0.340641, hard = 0
recv[768] = -1.911265, hard = 0
recv[769] = -0.227488, hard = 0
recv[770] = -0.252231, hard = 0
recv[771] = -0.038541, hard = 0
recv[772] = -1.610311, hard = 0
recv[773] = -1.164178, hard = 0
recv[774] = -1.707869, hard = 0
recv[775] = -2.125913, hard = 0
recv[776] = -0.650481, hard = 0
