recv[427] = -2.242249, hard = 0
recv[428] = 0.999537, hard = 1
recv[429] = 0.014501, hard = 1
recv[430] = 0.397829, hard = 1
recv[431] = -0.346936, hard = 0
recv[432] = -1.080427, hard = 0
recv[433] = 0.927141, hard = 1
recv[434] = -0.996247, hard = 0
recv[435] = -0.166318, hard = 0
recv[436] = 1.230743, hard = 1
recv[437] = -1.591494, hard = 0
recv[438] = 1.560425, hard = 1
recv[439] = 0.334961, hard = 1
recv[440] = -0.697611, hard = 0
recv[441] = -0.419100, hard = 0
recv[442] = -1.047581, hard = 0
recv[443] = 0.721124, hard = 1
recv[444] = -2.031949, hard = 0
recv[445] = 1.258347, hard = 1
recv[446] = -0.016883, hard = 0
recv[447] = -1.046196, hard = 0
recv[448] = -0.356882, hard = 0
recv[449] = -1.062918, hard = 0
recv[450] = 1.336068, hard = 1
recv[451] = -0.789827, hard = 0
recv[452] = -2.001637, hard = 0
recv[453] = 0.014860, hard = 1
recv[454] = -2.006584, hard = 0
recv[455] = -0.769202, hard = 0
recv[456] = -0.979628, hard = 0
recv[457] = -0.083214, hard = 0
recv[458] = 0.785574, hard = 1
recv[459] = 0.637659, hard = 1
recv[460] = 0.097566, hard = 1
recv[461] = -0.452471, hard = 0
recv[462] = 0.747357, hard = 1
recv[463] = 0.330119, hard = 1
recv[464] = -0.421990, hard = 0
recv[465] = 1.273925, hard = 1
recv[466] = 1.016091, hard = 1
recv[467] = -0.928252, hard = 0
recv[468] = 0.762127, hard = 1
recv[469] = -1.151504, hard = 0
recv[470] = 0.706772, hard = 1
recv[471] = 1.731359, hard = 1
recv[472] = -1.373826, hard = 0
recv[473] = -1.259239, hard = 0
recv[474] = 0.167260, hard = 1
recv[475] = -0.275317, hard = 0
recv[476] = 1.077285, hard = 1
recv[477] = 0.125976, hard = 1
recv[478] = 2.658273, hard = 1
recv[479] = -1.606137, hard = 0
recv[480] = 2.314446, hard = 1
recv[481] = -0.332420, hard = 0
recv[482] = -1.692859, hard = 0
recv[483] = 2.080987, hard = 1
recv[484] = -0.095230, hard = 0
recv[485] = 0.575176, hard = 1
recv[486] = 1.135106, hard = 1
recv[487] = 2.170559, hard = 1
recv[488] = 1.076276, hard = 1
recv[489] = 2.150442, hard = 1
recv[490] = -1.544069, hard = 0
recv[491] = -2.396851, hard = 0
recv[492] = 1.030817, hard = 1
recv[493] = 0.649674, hard = 1
recv[494] = 0.475918, hard = 1
recv[495] = -2.015648, hard = 0
recv[496] = -1.024534, hard = 0
recv[497] = -1.945901, hard = 0
recv[498] = 0.915615, hard = 1
recv[499] = -0.658331, hard = 0
recv[500] = 1.918468, hard = 1
recv[501] = 1.063110, hard = 1
recv[502] = -1.289541, hard = 0
recv[503] = 1.292956, hard = 1
recv[504] = 1.467643, hard = 1
recv[505] = 1.581873, hard = 1
recv[506] = -1.160426, hard = 0
recv[507] = -2.461113, hard = 0
recv[508] = -0.390143, hard = 0
recv[509] = 0.758695, hard = 1
recv[510] = -0.347946, hard = 0
recv[511] = 1.560601, hard = 1
recv[512] = -0.709589, hard = 0
recv[513] = -0.052289, hard = 0
recv[514] = 1.869854, hard = 1
recv[515] = 1.228511, hard = 1
recv[516] = 1.842176, hard = 1
recv[517] = -1.175578, hard = 0
recv[518] = 0.889657, hard = 1
recv[519] = 1.496864, hard = 1
recv[520] = 0.200530, hard = 1
recv[521] = 1.948014, hard = 1
recv[522] = -0.580679, hard = 0
recv[523] = -1.118280, hard = 0
recv[524] = -1.823901, hard = 0
recv[525] = -0.693226, hard = 0
recv[526] = 0.355056, hard = 1
recv[527] = 0.649545, hard = 1
recv[528] = 2.270140, hard = 1
recv[529] = 1.821651, hard = 1
recv[530] = -1.728589, hard = 0
recv[531] = 1.496628, hard = 1
recv[532] = 1.365868, hard = 1
recv[533] = 0.587500, hard = 1
recv[534] = -0.468689, hard = 0
recv[535] = 0.526395, hard = 1
recv[536] = -0.930246, hard = 0
recv[537] = -1.985465, hard = 0
recv[538] = 0.576338, hard = 1
recv[539] = -0.077506, hard = 0
recv[540] = 1.914410, hard = 1
recv[541] = -1.863315, hard = 0
recv[542] = 0.547705, hard = 1
recv[543] = -1.223928, hard = 0
recv[544] = -0.014996, hard = 0
recv[545] = -1.673820, hard = 0
recv[546] = 0.632968, hard = 1
recv[547] = -1.262858, hard = 0
recv[548] = 0.337901, hard = 1
recv[549] = 1.737287, hard = 1
recv[550] = 0.505496, hard = 1
recv[551] = 1.225038, hard = 1
recv[552] = 0.122276, hard = 1
recv[553] = 1.098246, hard = 1
recv[554] = 2.369161, hard = 1
recv[555] = 0.799648, hard = 1
recv[556] = 0.458625, hard = 1
recv[557] = -1.962955, hard = 0
recv[558] = 1.070953, hard = 1
recv[559] = 1.347044, hard = 1
recv[560] = -0.393725, hard = 0
recv[561] = -0.175447, hard = 0
recv[562] = 1.174049, hard = 1
recv[563] = 1.929648, hard = 1
recv[564] = 1.144256, hard = 1
recv[565] = -2.271491, hard = 0
recv[566] = -1.386681, hard = 0
recv[567] = -0.096207, hard = 0
recv[568] = 2.334771, hard = 1
recv[569] = -0.607266, hard = 0
recv[570] = 0.693891, hard = 1
recv[571] = -1.498300, hard = 0
recv[572] = -0.045128, hard = 0
recv[573] = -2.540156, hard = 0
recv[574] = -1.686335, hard = 0
recv[575] = -1.227508, hard = 0
recv[576] = -2.100511, hard = 0
recv[577] = 0.898008, hard = 1
recv[578] = -0.561741, hard = 0
recv[579] = 0.694517, hard = 1
recv[580] = 2.297209, hard = 1
recv[581] = 1.887248, hard = 1
recv[582] = 0.212493, hard = 1
recv[583] = 0.544820, hard = 1
recv[584] = -0.053089, hard = 0
recv[585] = -1.150420, hard = 0
recv[586] = 1.339603, hard = 1
recv[587] = -0.327483, hard = 0
recv[588] = 1.386383, hard = 1
recv[589] = 0.668364, hard = 1
recv[590] = -1.182558, hard = 0
recv[591] = 0.298796, hard = 1
recv[592] = -0.781554, hard = 0
recv[593] = 0.110238, hard = 1
recv[594] = -1.477605, hard = 0
recv[595] = 0.725334, hard = 1
recv[596] = 1.020538, hard = 1
recv[597] = 1.054523, hard = 1
recv[598] = 0.209334, hard = 1
recv[599] = -0.139815, hard = 0
recv[600] = 0.917058, hard = 1
recv[601] = 2.275316, hard = 1
recv[602] = -1.062636, hard = 0
recv[603] = -0.620992, hard = 0
recv[604] = -0.944953, hard = 0
recv[605] = 0.077596, hard = 1
recv[606] = 0.254879, hard = 1
recv[607] = 1.772378, hard = 1
recv[608] = -0.958482, hard = 0
recv[609] = 1.400629, hard = 1
recv[610] = -0.023416, hard = 0
recv[611] = 0.169376, hard = 1
recv[612] = 0.037002, hard = 1
recv[613] = 2.200643, hard = 1
recv[614] = -1.634921, hard = 0
recv[615] = -1.002085, hard = 0
recv[616] = -0.756339, hard = 0
recv[617] = 2.231473, hard = 1
recv[618] = 1.483137, hard = 1
recv[619] = 1.327926, hard = 1
recv[620] = -3.038408, hard = 0
recv[621] = 0.660922, hard = 1
recv[622] = 0.309456, hard = 1
recv[623] = -0.713677, hard = 0
recv[624] = -0.861556, hard = 0
recv[625] = -1.200512, hard = 0
recv[626] = -0.277201, hard = 0
recv[627] = 0.324134, hard = 1
recv[628] = 0.674331, hard = 1
recv[629] = -1.490235, hard = 0
recv[630] = 0.309536, hard = 1
recv[631] = 0.823743, hard = 1
recv[632] = -0.296960, hard = 0
recv[633] = -1.543899, hard = 0
recv[634] = 0.362942, hard = 1
recv[635] = -2.867807, hard = 0
recv[636] = -0.959060, hard = 0
recv[637] = -0.560013, hard = 0
recv[638] = 0.848703, hard = 1
recv[639] = -0.051370, hard = 0
recv[640] = 1.353771, hard = 1
recv[641] = -2.844382, hard = 0
recv[642] = 2.286638, hard = 1
recv[643] = 1.337826, hard = 1
recv[644] = 0.943367, hard = 1
recv[645] = 1.699732, hard = 1
recv[646] = 0.705776, hard = 1
recv[647] = 2.063966, hard = 1
recv[648] = -1.012492, hard = 0
recv[649] = -1.388976, hard = 0
recv[650] = 0.132444, hard = 1
recv[651] = -1.942830, hard = 0
recv[652] = 1.870332, hard = 1
recv[653] = 0.540885, hard = 1
recv[654] = -0.446467, hard = 0
recv[655] = -1.865472, hard = 0
recv[656] = -1.306544, hard = 0
