recv[471] = 1.803693, hard = 1
recv[472] = -0.873656, hard = 0
recv[473] = -1.221250, hard = 0
recv[474] = -1.275267, hard = 0
recv[475] = 1.510611, hard = 1
recv[476] = -2.060623, hard = 0
recv[477] = -0.740612, hard = 0
recv[478] = 0.497062, hard = 1
recv[479] = -0.310768, hard = 0
recv[480] = -2.442312, hard = 0
recv[481] = 0.784715, hard = 1
recv[482] = -0.102058, hard = 0
recv[483] = 0.441667, hard = 1
recv[484] = -0.680334, hard = 0
recv[485] = -1.798511, hard = 0
recv[486] = -1.095176, hard = 0
recv[487] = 0.968288, hard = 1
recv[488] = 1.151780, hard = 1
recv[489] = 1.277582, hard = 1
recv[490] = -1.392348, hard = 0
recv[491] = 0.678926, hard = 1
recv[492] = 1.518985, hard = 1
recv[493] = -0.065655, hard = 0
recv[494] = -0.288234, hard = 0
recv[495] = -0.945221, hard = 0
recv[496] = 0.827988, hard = 1
recv[497] = -0.425693, hard = 0
recv[498] = 1.589444, hard = 1
recv[499] = -2.295118, hard = 0
recv[500] = -2.338456, hard = 0
recv[501] = -0.800549, hard = 0
recv[502] = -0.719826, hard = 0
recv[503] = -1.194961, hard = 0
recv[504] = 1.538090, hard = 1
recv[505] = 0.736568, hard = 1
recv[506] = -0.424874, hard = 0
recv[507] = -0.416215, hard = 0
recv[508] = -0.434323, hard = 0
recv[509] = -1.077104, hard = 0
recv[510] = -1.035542, hard = 0
recv[511] = 1.016494, hard = 1
recv[512] = -1.855997, hard = 0
recv[513] = 1.542492, hard = 1
recv[514] = 0.606201, hard = 1
recv[515] = -0.173295, hard = 0
recv[516] = 1.342820, hard = 1
recv[517] = 1.139846, hard = 1
recv[518] = -0.547024, hard = 0
recv[519] = 1.194116, hard = 1
recv[520] = -0.545958, hard = 0
recv[521] = -1.112959, hard = 0
recv[522] = -0.709402, hard = 0
recv[523] = 1.059806, hard = 1
recv[524] = 0.633034, hard = 1
recv[525] = 0.600943, hard = 1
recv[526] = -0.297939, hard = 0
recv[527] = -0.221350, hard = 0
recv[528] = -1.552081, hard = 0
recv[529] = -0.075030, hard = 0
recv[530] = -1.047877, hard = 0
recv[531] = 0.874616, hard = 1
recv[532] = -0.360055, hard = 0
recv[533] = 0.472458, hard = 1
recv[534] = -1.360314, hard = 0
recv[535] = -0.678830, hard = 0
recv[536] = -1.106556, hard = 0
recv[537] = -1.006876, hard = 0
